ts_utc,day_ahead_usd_mwh
2026-09-21 06:00:00+00:00,39.5375
2026-09-21 07:00:00+00:00,40.825
2026-09-21 08:00:00+00:00,41.615
2026-09-21 09:00:00+00:00,42.8
2026-09-21 10:00:00+00:00,50.957499999999996
2026-09-21 11:00:00+00:00,58.7875
2026-09-21 12:00:00+00:00,50.9625
2026-09-21 13:00:00+00:00,38.2975
2026-09-21 14:00:00+00:00,30.01
2026-09-21 15:00:00+00:00,28.945
2026-09-21 16:00:00+00:00,31.832500000000003
2026-09-21 17:00:00+00:00,36.24
2026-09-21 18:00:00+00:00,46.1525
2026-09-21 19:00:00+00:00,47.455
2026-09-21 20:00:00+00:00,55.817499999999995
2026-09-21 21:00:00+00:00,63.7075
2026-09-21 22:00:00+00:00,65.7425
2026-09-21 23:00:00+00:00,98.8075
2026-09-22 00:00:00+00:00,114.04
2026-09-22 01:00:00+00:00,110.2075
2026-09-22 02:00:00+00:00,106.89
2026-09-22 03:00:00+00:00,90.51
2026-09-22 04:00:00+00:00,62.775
