ts_utc,realtime_usd_mwh
2026-09-15 04:00:00+00:00,20.061870916666667
2026-09-15 05:00:00+00:00,21.675292666666667
2026-09-15 06:00:00+00:00,18.586655666666665
2026-09-15 07:00:00+00:00,15.957987416666667
2026-09-15 08:00:00+00:00,18.973597666666667
2026-09-15 09:00:00+00:00,23.126290416666667
2026-09-15 10:00:00+00:00,25.192768083333334
2026-09-15 11:00:00+00:00,30.335827249999998
2026-09-15 12:00:00+00:00,16.39620825
2026-09-15 13:00:00+00:00,18.79251475
2026-09-15 14:00:00+00:00,21.871574
2026-09-15 15:00:00+00:00,22.991785916666668
2026-09-15 16:00:00+00:00,34.45634275
2026-09-15 17:00:00+00:00,32.684739916666665
2026-09-15 18:00:00+00:00,51.302437166666664
2026-09-15 19:00:00+00:00,49.931535
2026-09-15 20:00:00+00:00,70.96168708333333
2026-09-15 21:00:00+00:00,158.75494291666666
2026-09-15 22:00:00+00:00,351.99352008333335
2026-09-15 23:00:00+00:00,550.4832911666666
2026-09-16 00:00:00+00:00,61.121056833333334
2026-09-16 01:00:00+00:00,41.629446083333335
2026-09-16 02:00:00+00:00,42.863045666666665
2026-09-16 03:00:00+00:00,35.09062408333333
