ts_utc,day_ahead_usd_mwh,realtime_usd_mwh
2026-09-20 02:00:00+00:00,59.2475,
2026-09-20 03:00:00+00:00,43.905,
2026-09-20 04:00:00+00:00,36.1475,
2026-09-20 05:00:00+00:00,36.175,
2026-09-20 06:00:00+00:00,32.95,
2026-09-20 07:00:00+00:00,32.0525,
2026-09-20 08:00:00+00:00,31.2825,
2026-09-20 09:00:00+00:00,30.06,
2026-09-20 10:00:00+00:00,29.77,
2026-09-20 11:00:00+00:00,30.8775,
2026-09-20 12:00:00+00:00,30.762500000000003,
2026-09-20 13:00:00+00:00,25.295,
2026-09-20 14:00:00+00:00,23.51,
2026-09-20 15:00:00+00:00,24.3975,
2026-09-20 16:00:00+00:00,27.0375,
2026-09-20 17:00:00+00:00,33.475,
2026-09-20 18:00:00+00:00,42.655,
2026-09-20 19:00:00+00:00,48.455,
2026-09-20 20:00:00+00:00,57.945,
2026-09-20 21:00:00+00:00,60.7275,
2026-09-20 22:00:00+00:00,77.845,
2026-09-20 23:00:00+00:00,109.8075,
2026-09-21 00:00:00+00:00,116.3525,
2026-09-21 01:00:00+00:00,101.4725,
2026-09-21 02:00:00+00:00,97.3625,
2026-09-21 03:00:00+00:00,74.0375,
2026-09-21 04:00:00+00:00,46.5325,
